asset,Date,Supply
btc,2014-09-17,13281189.78589664
btc,2014-09-18,13285664.78573284
btc,2014-09-19,13289939.78573284
btc,2014-09-20,13294339.78573284
btc,2014-09-21,13298439.78556904
btc,2014-09-22,13302639.78556904
btc,2014-09-23,13306389.78556904
btc,2014-09-24,13310289.78556904
btc,2014-09-25,13314589.78556904
btc,2014-09-26,13317939.78556902
btc,2014-09-27,13321289.78556902
btc,2014-09-28,13324539.78556902
btc,2014-09-29,13327964.78556902
btc,2014-09-30,13331789.785569
btc,2014-10-01,13335664.785569
btc,2014-10-02,13339114.78556899
btc,2014-10-03,13342764.78556899
btc,2014-10-04,13346614.78556897
btc,2014-10-05,13350839.78556897
btc,2014-10-06,13354864.78556894
btc,2014-10-07,13358214.78556894
btc,2014-10-08,13361814.78556894
btc,2014-10-09,13365514.78556892
btc,2014-10-10,13369389.78556889
btc,2014-10-11,13372989.78556888
btc,2014-10-12,13376689.78556888
btc,2014-10-13,13380564.78556888
btc,2014-10-14,13383864.78556887
btc,2014-10-15,13387639.78556887
btc,2014-10-16,13391339.78556887
btc,2014-10-17,13394889.78556887
btc,2014-10-18,13398989.78556887
btc,2014-10-19,13402314.78556887
btc,2014-10-20,13405739.78556887
btc,2014-10-21,13409564.78556887
btc,2014-10-22,13413539.78556887
btc,2014-10-23,13417314.78556887
btc,2014-10-24,13421289.78556887
btc,2014-10-25,13425164.78556887
btc,2014-10-26,13428289.78556887
btc,2014-10-27,13432264.78556887
btc,2014-10-28,13435714.78566886
btc,2014-10-29,13439589.78566886
btc,2014-10-30,13443839.78566886
btc,2014-10-31,13448539.78566886
btc,2014-11-01,13452514.78566886
btc,2014-11-02,13456389.78566886
btc,2014-11-03,13460614.78566886
btc,2014-11-04,13464664.78566886
btc,2014-11-05,13468114.78566886
btc,2014-11-06,13471964.78566885
btc,2014-11-07,13475714.78566885
btc,2014-11-08,13479539.78566885
btc,2014-11-09,13483289.78556884
btc,2014-11-10,13486964.78556884
btc,2014-11-11,13490189.78556884
btc,2014-11-12,13493864.78556884
btc,2014-11-13,13497489.78556884
btc,2014-11-14,13501339.78556884
btc,2014-11-15,13504839.78556884
btc,2014-11-16,13508589.78540504
btc,2014-11-17,13512189.78540504
btc,2014-11-18,13516039.78540504
btc,2014-11-19,13519564.78540504
btc,2014-11-20,13523014.78530504
btc,2014-11-21,13526189.78530504
btc,2014-11-22,13530039.78530504
btc,2014-11-23,13533589.78530504
btc,2014-11-24,13537264.78530504
btc,2014-11-25,13540564.78530504
btc,2014-11-26,13543989.78530504
btc,2014-11-27,13547514.78530504
btc,2014-11-28,13551214.78530504
btc,2014-11-29,13555139.78530502
btc,2014-11-30,13559139.78530502
btc,2014-12-01,13562389.78530502
btc,2014-12-02,13566139.78530502
btc,2014-12-03,13569039.78530502
btc,2014-12-04,13572689.78525042
btc,2014-12-05,13576589.78525042
btc,2014-12-06,13580014.78525042
btc,2014-12-07,13583164.78525039
btc,2014-12-08,13587239.78525039
btc,2014-12-09,13590789.78525039
btc,2014-12-10,13594364.78525039
btc,2014-12-11,13598064.78525039
btc,2014-12-12,13601589.78525037
btc,2014-12-13,13605239.78525037
btc,2014-12-14,13608764.78525037
btc,2014-12-15,13612289.78525037
btc,2014-12-16,13615864.78525036
btc,2014-12-17,13619064.78525035
btc,2014-12-18,13622289.78525035
btc,2014-12-19,13625714.78525035
btc,2014-12-20,13629064.78525035
btc,2014-12-21,13632364.78525034
btc,2014-12-22,13636464.78525033
btc,2014-12-23,13640214.78525033
btc,2014-12-24,13644039.78525033
btc,2014-12-25,13647989.78525033
btc,2014-12-26,13651789.78525033
btc,2014-12-27,13655589.78525033
btc,2014-12-28,13659814.78525033
btc,2014-12-29,13663914.78525033
btc,2014-12-30,13667789.78525033
btc,2014-12-31,13671589.78525033
btc,2015-01-01,13675714.78521033
btc,2015-01-02,13679839.78521033
btc,2015-01-03,13683889.78496462
btc,2015-01-04,13688189.78496462
btc,2015-01-05,13692089.78496462
btc,2015-01-06,13696039.78496462
btc,2015-01-07,13699539.78496462
btc,2015-01-08,13703214.78496462
btc,2015-01-09,13706714.78496462
btc,2015-01-10,13710389.78496462
btc,2015-01-11,13714264.78496462
btc,2015-01-12,13717814.78496462
btc,2015-01-13,13720989.78496462
btc,2015-01-14,13724614.78496462
btc,2015-01-15,13728389.78463702
btc,2015-01-16,13731864.78463702
btc,2015-01-17,13735314.78463702
btc,2015-01-18,13739139.78463702
btc,2015-01-19,13742739.78463702
btc,2015-01-20,13745689.78463702
btc,2015-01-21,13749414.78463701
btc,2015-01-22,13752789.78463701
btc,2015-01-23,13755889.78463701
btc,2015-01-24,13759039.78463701
btc,2015-01-25,13762164.78463701
btc,2015-01-26,13765339.78463701
btc,2015-01-27,13769064.78463701
