Date,Total
2024-07-23,106.6
2024-07-24,-133.3
2024-07-25,-152.4
2024-07-26,-162.7
2024-07-29,-98.3
2024-07-30,33.7
2024-07-31,-77.2
2024-08-01,26.7
2024-08-02,-54.3
2024-08-05,48.8
2024-08-06,98.4
2024-08-07,-23.7
2024-08-08,-2.9
2024-08-09,-15.8
2024-08-12,5.0
2024-08-13,24.3
2024-08-14,10.8
2024-08-15,-39.2
2024-08-16,-15.0
2024-08-19,-13.5
2024-08-20,-6.5
2024-08-21,-18.0
2024-08-22,-0.8
2024-08-23,-5.7
2024-08-26,-13.2
2024-08-27,-3.4
2024-08-28,5.9
2024-08-29,-1.7
2024-08-30,0.0
2024-09-02,0.0
2024-09-03,-47.4
2024-09-04,-37.5
2024-09-05,-0.2
2024-09-06,-6.0
2024-09-09,-5.2
2024-09-10,11.4
2024-09-11,-0.5
2024-09-12,-20.1
2024-09-13,1.5
2024-09-16,-9.4
2024-09-17,-15.1
2024-09-18,-9.8
2024-09-19,5.2
2024-09-20,2.9
2024-09-23,-79.3
2024-09-24,62.5
2024-09-25,43.2
2024-09-26,-0.1
2024-09-27,58.7
2024-09-30,-0.8
2024-10-01,-48.6
2024-10-02,14.4
2024-10-03,-3.2
2024-10-04,7.4
2024-10-07,0.0
2024-10-08,-8.1
2024-10-09,0.0
2024-10-10,3.1
2024-10-11,-0.1
2024-10-14,17.0
2024-10-15,-12.7
2024-10-16,24.2
2024-10-17,48.4
2024-10-18,1.9
2024-10-21,-20.8
2024-10-22,11.9
2024-10-23,1.2
2024-10-24,2.3
2024-10-25,-19.2
2024-10-28,-1.1
2024-10-29,7.6
2024-10-30,4.4
2024-10-31,13.0
2024-11-01,-10.9
2024-11-04,-63.2
2024-11-05,0.0
2024-11-06,52.3
2024-11-07,79.7
2024-11-08,85.9
2024-11-11,295.5
2024-11-12,135.9
2024-11-13,146.9
2024-11-14,-3.2
2024-11-15,-59.8
2024-11-18,-39.1
2024-11-19,-81.3
2024-11-20,-30.3
2024-11-21,-9.0
2024-11-22,91.3
2024-11-25,2.9
2024-11-26,40.6
2024-11-27,90.1
2024-11-28,0.0
2024-11-29,332.9
2024-12-02,24.2
2024-12-03,132.6
2024-12-04,167.7
2024-12-05,428.5
